slug,name,agency,type,url,status,last_updated,listing_deadline,deadline_raw,amount,eligibility,source_quality,source_domain,C1,C2,C3,C4,C5,total,note
buy-local-buy-wisconsin-grants,"Buy Local, Buy Wisconsin Grants",Wisconsin DATCP,Grant,https://ambrook.com/funding/buy-local-buy-wisconsin-grants,OK,2026-08-03,Closed Sep 15,"Closed September 15, 2025","$50,000",EXPLICIT,SPECIFIC,datcp.wi.gov,3,3,3,3,3,15,
cada-beginning-farmer-loan-program,CADA Beginning Farmer Loan Program,Colorado Agricultural Development Authority (CADA),Loan,https://ambrook.com/funding/cada-beginning-farmer-loan-program,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,cadafarmloan.com,3,2,3,1,3,12,no maximum loan amount
cfra-loans,CFRA Loans,Nebraska Center For Rural Affairs (CFRA),Loan,https://ambrook.com/funding/cfra-loans,OK,2026-07-23,-,ABSENT,"$250,000",PROSE,SPECIFIC,cfra.org,3,2,3,3,2,13,
ammp,California Alternative Manure Management Practices Program,California Department of Food and Agriculture (CDFA),Grant,https://ambrook.com/funding/ammp,OK,2026-07-23,Closed Oct 18,"Closed October 18, 2024","$750,000",EXPLICIT,SPECIFIC,cdfa.ca.gov,3,3,3,3,3,15,
ca-community-vision-loans,California Community Vision Lending,Community Vision Capital & Consulting,Loan,https://ambrook.com/funding/ca-community-vision-loans,OK,2026-07-10,-,ABSENT,"$5,000,000",EXPLICIT,GENERIC,communityvisionca.org,3,2,2,3,3,13,only link is lender homepage
california-dairy-research-foundation-partnerships-for-climate-smart-commodities-project,California Dairy Research Foundation Partnerships for Climate-Smart Commodities Project,California Dairy Research Foundation,Grant,https://ambrook.com/funding/california-dairy-research-foundation-partnerships-for-climate-smart-commodities-project,OK,2026-07-23,Sep 14,"Due September 14, 2026","$85,000,000 total",PROSE,SPECIFIC,cdfa.ca.gov,3,1,3,3,2,12,Due 2026 contradicts body saying applications closed for 2024
cfcp,California Farmland Conservancy Program,California Department of Conservation (CADC),Grant,https://ambrook.com/funding/cfcp,OK,2026-07-28,-,rolling basis,"$1,300,000 total",EXPLICIT,SPECIFIC,conservation.ca.gov,3,3,3,3,3,15,
ca-hsp,California Healthy Soils Program,California Department of Food and Agriculture (CDFA),Grant,https://ambrook.com/funding/ca-hsp,OK,2026-07-23,Closed Aug 2,"Closed August 2, 2024",ABSENT,EXPLICIT,SPECIFIC,cdfa.ca.gov,3,3,3,1,3,13,no funding amount
ccof-transition-grant,California Organic Transition Grant,California Certified Organic Farms (CCOF),Grant,https://ambrook.com/funding/ccof-transition-grant,OK,2026-07-23,-,ABSENT,"$10,000",EXPLICIT,GENERIC,bit.ly,3,2,2,3,3,13,only link is a bit.ly portal
ca-sjv-ag-burn-alt-grant,California San Joaquin Valley Agricultural Burn Alternatives Grant Program,San Joaquin Valley Air Pollution Control District,Grant,https://ambrook.com/funding/ca-sjv-ag-burn-alt-grant,OK,2026-07-23,-,ABSENT,"$2,000,000 (65% of eligible cost)",EXPLICIT,SPECIFIC,valleyair.org,3,2,3,3,3,14,
ca-seeds-for-bees-program,California Seeds for Bees Program,Project Apis m.,Discount,https://ambrook.com/funding/ca-seeds-for-bees-program,OK,2026-07-23,Due Aug 31,"Due August 31, 2026","$2,500 first year discount",EXPLICIT,SPECIFIC,projectapism.org,3,3,3,3,3,15,
ca-salc,California Sustainable Agricultural Lands Conservation Program,California Department of Conservation (CADC),Grant,https://ambrook.com/funding/ca-salc,OK,2026-07-23,Due Oct 1,"Due October 1, 2026","$500,000",EXPLICIT,SPECIFIC,conservation.ca.gov,3,3,3,3,3,15,
ca-cusp,California Underserved and Small Producers Program,California Department of Food and Agriculture (CDFA),Grant,https://ambrook.com/funding/ca-cusp,OK,2026-07-23,-,ABSENT,$5 million drought relief,PROSE,SPECIFIC,cdfa.ca.gov,3,2,3,3,2,13,bullets cover eligible expenses not applicant eligibility
california-urban-agriculture-grant-program,California Urban Agriculture Grant Program,California Department of Food and Agriculture (CDFA),Grant,https://ambrook.com/funding/california-urban-agriculture-grant-program,OK,2026-07-23,Closed Oct 23,"Closed October 23, 2023","up to $11,670,000 total",EXPLICIT,SPECIFIC,cafarmtofork.cdfa.ca.gov,3,3,3,3,3,15,
capital-equipment-assistance-program,Capital Equipment Assistance Program,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,https://ambrook.com/funding/capital-equipment-assistance-program,OK,2026-07-23,Closed Jul 15,"Closed July 15, 2026","$150,000 max, 90% of cost",EXPLICIT,SPECIFIC,agriculture.vermont.gov,3,3,3,3,3,15,body labels a closed cycle as NEW 2027 applications
carbon-by-indigo,Carbon by Indigo,Indigo Ag,Environmental Market,https://ambrook.com/funding/carbon-by-indigo,OK,2026-08-05,-,ABSENT,75% of carbon credit price,EXPLICIT,GENERIC,indigoag.com,3,2,2,2,3,12,links to homepage and whitepaper only
cacfp,Child and Adult Care Food Program,Food and Nutrition Administration (FNA),Grant,https://ambrook.com/funding/cacfp,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,SPECIFIC,fns.usda.gov,3,2,3,1,2,11,no funding information
choose-iowa-marketing-and-promotion-program,Choose Iowa Value-Added Grant,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,https://ambrook.com/funding/choose-iowa-marketing-and-promotion-program,OK,2026-07-23,Closed Jan 16,"Closed January 16, 2026","$25,000",EXPLICIT,SPECIFIC,chooseiowa.com,3,3,3,3,3,15,
co-agriculture-future-loans-program,Colorado Agricultural Future Loans Program,Colorado Department of Agriculture (CDA),Loan,https://ambrook.com/funding/co-agriculture-future-loans-program,OK,2026-07-23,-,currently a waitlist,"Up to $750,000",EXPLICIT,SPECIFIC,ag.colorado.gov,3,2,3,3,3,14,
co-bc-sfaf,Colorado Boulder County Sustainable Food and Agriculture Fund,Boulder County Department of the Environment,Grant,https://ambrook.com/funding/co-bc-sfaf,OK,2026-07-23,Closed Jan 7,"no later than Jan. 7, 2026","$25,000 per project",EXPLICIT,SPECIFIC,bouldercounty.gov,3,3,3,3,3,15,
co-pace,Colorado C-PACE,Colorado Commercial Property Assessed Clean Energy (CO-CPACE),Grant,https://ambrook.com/funding/co-pace,OK,2026-07-23,-,ABSENT,up to 100% of improvements,EXPLICIT,SPECIFIC,copace.com,3,2,3,2,3,13,percentage with no dollar cap
co-nextgen,Colorado Next Gen Ag Leadership Grant Program,Colorado Department of Agriculture (CDA),Grant,https://ambrook.com/funding/co-nextgen,OK,2026-07-23,Closed Apr 24,"Closed April 24, 2026","$25,000",PROSE,GENERIC,forms.gle,3,3,2,3,2,13,links only to Google Forms
co-star,Colorado Saving Tomorrow's Agricultural Resources Program,Colorado Department of Agriculture (CDA),Grant,https://ambrook.com/funding/co-star,OK,2026-07-23,-,not currently accepting new applicants,ABSENT,PROSE,GENERIC,abm.extension.colostate.edu,3,2,2,1,2,10,"no CDA link, no funding info"
co-scbgp,Colorado Specialty Crop Block Grant Program,Colorado Department of Agriculture (CDA),Grant,https://ambrook.com/funding/co-scbgp,OK,2026-07-23,Closed Feb 13,"Applications are closed, reopen January 2027","$700,000 anticipated",EXPLICIT,SPECIFIC,ams.usda.gov,3,3,3,3,3,15,links to federal AMS not the state agency
commodity-loans,Commodity Loans,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/commodity-loans,OK,2026-07-24,-,ABSENT,ABSENT,ABSENT,SPECIFIC,fsa.usda.gov,3,2,3,1,1,10,no eligibility and no funding information
composting-and-food-waste-reduction-pilot-project,Composting and Food Waste Reduction Pilot Project,Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/composting-and-food-waste-reduction-pilot-project,OK,2026-07-23,Closed Sep 4,"Closed September 4, 2024","$300,000 max",EXPLICIT,GENERIC,grants.gov,3,3,2,3,3,14,links only to grants.gov portal
ct-farm-viability-grant,Connecticut Agricultural Enhancement Grant,Connecticut Department of Agriculture (CTDOAG),Grant,https://ambrook.com/funding/ct-farm-viability-grant,OK,2026-07-23,Closed Feb 2,"Closed February 2, 2026","$49,999 max",EXPLICIT,SPECIFIC,portal.ct.gov,3,3,3,3,3,15,
connecticut-energy-assistance-program,Connecticut Energy Assistance Program,Connecticut's Department of Social Services,Grant,https://ambrook.com/funding/connecticut-energy-assistance-program,OK,2026-07-23,Closed May 29,"last day to apply May 29, 2026",$295-$645,EXPLICIT,SPECIFIC,portal.ct.gov,3,3,3,3,3,15,
ct-farm-transition-grant-program,Connecticut Farm Enterprise Transition Grant,Connecticut Department of Agriculture (CTDOAG),Grant,https://ambrook.com/funding/ct-farm-transition-grant-program,OK,2026-07-23,Closed Jan 12,"Closed January 12, 2026","$49,999 max",EXPLICIT,SPECIFIC,portal.ct.gov,3,3,3,3,3,15,
ct-organic-certification-cost-share-program,Connecticut Organic Certification Cost Share Program,Connecticut Department of Agriculture (CTDOAG),Cost Share,https://ambrook.com/funding/ct-organic-certification-cost-share-program,OK,2026-07-28,Closed Sep 30,"Closed September 30, 2024",50% up to $500,EXPLICIT,SPECIFIC,portal.ct.gov,3,3,3,3,3,15,cost-share text cites the 2020-2021 cycle
ct-scbgp,Connecticut Specialty Crop Block Grant,Connecticut Department of Agriculture (CTDOAG),Grant,https://ambrook.com/funding/ct-scbgp,OK,2026-07-23,Closed Mar 16,"Closed March 16, 2026","$100,000",EXPLICIT,SPECIFIC,portal.ct.gov,3,1,3,3,3,13,status says 2026 but body says due June 27 2022
ct-traditional-farmland-preservation-program,Connecticut Traditional Farmland Preservation Program,Connecticut Department of Agriculture (CTDOAG),Easement,https://ambrook.com/funding/ct-traditional-farmland-preservation-program,OK,2026-07-23,-,ABSENT,gift to full value of development rights,EXPLICIT,SPECIFIC,portal.ct.gov,3,2,3,2,3,13,qualitative funding only
cig,Conservation Innovation Grants (CIG),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/cig,OK,2026-07-10,Closed Jul 27,"Due July 27, 2026","$5,000,000 max",PROSE,SPECIFIC,nrcs.usda.gov,3,1,3,3,2,12,Due date passed and body says no open competitions
crep,Conservation Reserve Enhancement Program (CREP),Farm Service Agency (FSA),Easement,https://ambrook.com/funding/crep,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,1,2,11,no funding figures
crp,Conservation Reserve Program (CRP),Farm Service Agency (FSA),"Easement, Cost Share",https://ambrook.com/funding/crp,OK,2026-07-23,Closed May 1,"Closed May 1, 2026",cost-share up to 50%,EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,
crp-grasslands,Conservation Reserve Program - Grasslands (CRP Grasslands),Farm Service Agency (FSA),"Easement, Cost Share, Grant",https://ambrook.com/funding/crp-grasslands,OK,2026-07-23,Closed May 29,"Closed May 29, 2026",75% of NASS pasture rate,EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,2,3,14,percentage with no cap
csp,Conservation Stewardship Program (CSP),Natural Resources Conservation Service (NRCS),Easement,https://ambrook.com/funding/csp,OK,2026-07-28,-,ABSENT,"$200,000 max; $4,000 minimum",EXPLICIT,NONE,ABSENT,3,2,1,3,3,12,"no NRCS source link, only Flickr and Stripe"
conservation-stewardship-program-grasslands-conservation-initiative,Conservation Stewardship Program: Grasslands Conservation Initiative,Natural Resources Conservation Service (NRCS),Easement,https://ambrook.com/funding/conservation-stewardship-program-grasslands-conservation-initiative,OK,2026-07-28,-,continuous basis,"$4,000 minimum",EXPLICIT,SPECIFIC,nrcs.usda.gov,3,3,3,3,3,15,
clcg,Contour Lines Tree Planting Grant,Contour Lines Corp,Grant,https://ambrook.com/funding/clcg,OK,2026-07-23,-,ABSENT,free trees and technical assistance,EXPLICIT,SPECIFIC,contourlines.org,3,2,3,2,3,13,in-kind only
dmc,Dairy Margin Coverage Program (DMC),Farm Service Agency (FSA),Insurance,https://ambrook.com/funding/dmc,OK,2026-07-23,Closed Feb 26,"Closed February 26, 2026","$100 admin fee, buy-up levels",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,2,3,14,no maximum benefit stated
chesapeake-bay-implementation-grant-program,Delaware Chesapeake Bay Implementation Grant Program,Delaware DNREC,Grant,https://ambrook.com/funding/chesapeake-bay-implementation-grant-program,OK,2026-07-23,Closed Mar 6,"Closed March 6, 2026","100% non-federal match, no max",PROSE,SPECIFIC,dnrec.delaware.gov,3,3,3,2,2,13,no maximum award
de-fsfsgp,Delaware First State Food System Grant Program,Delaware Council on Farm & Food Policy,Grant,https://ambrook.com/funding/de-fsfsgp,OK,2026-07-23,Closed May 30,"Closed May 30, 2025","$12,500",EXPLICIT,GENERIC,farm-and-food-delaware.hub.arcgis.com,3,3,2,3,3,14,links to ArcGIS hub not the council program page
de-irrigation-electrification-grant-program,Delaware Irrigation Electrification Grant Program,Delaware Electric Cooperative (DEC),Grant,https://ambrook.com/funding/de-irrigation-electrification-grant-program,OK,2026-07-23,-,ABSENT,"$10,000",EXPLICIT,SPECIFIC,delaware.coop,3,2,3,3,3,14,
de-nutrient-relocation,Delaware Nutrient Management Relocation Program,Delaware Department of Agriculture (DDoA),Grant,https://ambrook.com/funding/de-nutrient-relocation,OK,2026-05-06,-,ABSENT,ABSENT,PROSE,SPECIFIC,agriculture.delaware.gov,3,2,3,1,2,11,no funding information
delaware-section-319-grants,Delaware Section 319 Grants,Delaware DNREC,Grant,https://ambrook.com/funding/delaware-section-319-grants,OK,2026-07-23,Closed Mar 6,"Deadline: March 6, 2026","$100,000 total",PROSE,SPECIFIC,dnrec.alpha.delaware.gov,3,3,3,3,2,14,
direct-farm-operating-loan,Direct Farm Operating Loan,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/direct-farm-operating-loan,OK,2026-07-23,-,ABSENT,"$400,000",EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,3,3,14,
disaster-assistance-recovery-tool,Disaster Assistance Recovery Tool,U.S. Department of Agriculture (USDA),"Education, Grant, Loan, Cost Share",https://ambrook.com/funding/disaster-assistance-recovery-tool,OK,2026-07-23,-,ABSENT,ABSENT,ABSENT,SPECIFIC,lat.fpac.usda.gov,3,2,3,1,1,10,no eligibility and no funding information
eqip-cic,EQIP Conservation Incentive Contracts (EQIP-CIC),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/eqip-cic,OK,2026-07-23,-,year-round with state signup dates,"$200,000 life of Farm Bill",EXPLICIT,SPECIFIC,nrcs.usda.gov,3,3,3,3,3,15,
eqip-high-tunnel,EQIP High Tunnel System Initiative,Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/eqip-high-tunnel,OK,2026-01-15,-,ABSENT,ABSENT,PROSE,SPECIFIC,nrcs.usda.gov,3,2,3,1,2,11,no funding information
energy-initiative,EQIP On-Farm Energy Initiative,Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/energy-initiative,OK,2026-07-23,-,accepted throughout the year,ABSENT,PROSE,SPECIFIC,nrcs.usda.gov,3,3,3,1,2,12,no funding information
eqip-organic-initiative,EQIP Organic Initiative,Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/eqip-organic-initiative,OK,2026-07-23,-,ABSENT,"$140,000 over 2019-2023",EXPLICIT,SPECIFIC,nrcs.usda.gov,3,2,3,3,3,14,payment limit cites the expired 2019-2023 Farm Bill
elevated-foods-partnerships-for-climate-smart-commodities,Elevated Foods Advancing Markets for Producers (AMP),Elevated Foods,Grant,https://ambrook.com/funding/elevated-foods-partnerships-for-climate-smart-commodities,OK,2026-07-23,-,ABSENT,"$20,000,000 total",EXPLICIT,SPECIFIC,elevatedfoods.com,3,2,3,3,3,14,open enrollment referenced with no dates
elap,"Emergency Assistance for Livestock, Honey Bees, and Farm-Raised Fish (ELAP)",Farm Service Agency (FSA),Grant,https://ambrook.com/funding/elap,OK,2026-07-23,-,application period ends Dec. 31 each year,"$125,000",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,
ecap,Emergency Commodity Assistance (ECAP),Farm Service Agency (FSA),"Grant, Insurance",https://ambrook.com/funding/ecap,OK,2026-07-23,Closed Aug 15,"Closed August 15, 2025","$10,000,000,000 total",PROSE,SPECIFIC,fsa.usda.gov,3,3,3,3,2,14,listing chip Closed Aug 15 is year-less; body cites forms due Aug 17 2026
forest-legacy-program,Forest Legacy Program,Forest Service (FS),"Easement, Grant, Cost Share",https://ambrook.com/funding/Forest%20Legacy%20Program,SLUG_VARIANT,ABSENT,-,ABSENT,ABSENT,ABSENT,NONE,ABSENT,0,0,0,0,0,0,"org page links to /funding/Forest%20Legacy%20Program (literal spaces, title case); the kebab-case slug 404s. Page itself resolves and was excluded from scoring."
ffp,Fisheries Finance Program,National Oceanic and Atmospheric Administration (NOAA),Loan,https://ambrook.com/funding/ffp,OK,2026-07-23,-,ABSENT,"fee 0.5% of loan, no max",PROSE,NONE,ABSENT,3,2,1,2,2,10,no NOAA source link
farmlend,FarmLend,Farm Credit,Loan,https://ambrook.com/funding/farmlend,OK,2026-07-10,-,ABSENT,ABSENT,ABSENT,GENERIC,farmlend.com,3,2,2,1,1,9,no funding and no eligibility
fb-ag-innovation-challenge,Farm Bureau Ag Innovation Challenge,Farm Bureau (FB),Grant,https://ambrook.com/funding/fb-ag-innovation-challenge,OK,2025-07-10,Closed Jun 9,"Deadline: June 9, 2025","$165,000 total, $50,000 prize",EXPLICIT,NONE,ABSENT,2,1,1,3,3,10,deadline contradicts body describing 2023 challenge with 2022 deadline
farm-aid-hurricane-disaster-fund,Farm Aid Hurricane Disaster Fund,Farm Aid,Grant,https://ambrook.com/funding/farm-aid-hurricane-disaster-fund,OK,2025-08-20,-,ABSENT,"$250,000 total",PROSE,NONE,ABSENT,3,2,1,2,2,10,no outbound links; body says programs under review as of 1/27/25
farmer-cooperative-led-partnership-driven-project-for-implementing-novel-perennial-cover-crop-species-in-specialty-crop-systems-and-integrating-with-innovative-mrv-and-carbon-market,Farmer Cooperative-Led Perennial Cover Crop / MRV and Carbon Market Project,Oakville Bluegrass Cooperative,Grant,https://ambrook.com/funding/farmer-cooperative-led-partnership-driven-project-for-implementing-novel-perennial-cover-crop-species-in-specialty-crop-systems-and-integrating-with-innovative-mrv-and-carbon-market,OK,2026-07-23,-,reopened enrollment October 2025,"up to $13,750 per producer",ABSENT,SPECIFIC,obc.ag,3,2,3,3,1,12,no eligibility criteria
farmers-for-soil-health-climate-smart-commodities-partnership-,Farmers for Soil Health Climate-Smart Commodities Partnership,National Fish and Wildlife Foundation (NFWF),Grant,https://ambrook.com/funding/farmers-for-soil-health-climate-smart-commodities-partnership-,OK,2026-07-23,Closed Sep 23,"Closed September 23, 2024","$95,000,000 total",ABSENT,SPECIFIC,nfwf.org,3,3,3,2,1,12,no eligibility criteria
ewp,Emergency Watershed Protection Program (EWP),Natural Resources Conservation Service (NRCS),Cost Share,https://ambrook.com/funding/ewp,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,SPECIFIC,nrcs.usda.gov,3,2,3,1,2,11,no funding or cost-share information
feed-the-hunger-fund,Feed The Hunger Fund,Feed The Hunger Fund (FTHF),Loan,https://ambrook.com/funding/feed-the-hunger-fund,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,SPECIFIC,feed-hunger.com,3,2,3,1,2,11,no funding amount or terms
fwp,Farmable Wetlands Program,Farm Service Agency (FSA),Easement,https://ambrook.com/funding/fwp,OK,2026-07-23,-,accepted throughout the year,ABSENT,PROSE,GENERIC,fsa.usda.gov,3,3,2,1,2,11,link goes to FSA state office locator only
fmpp,Farmers Market Promotion Program,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/fmpp,OK,2025-06-05,Closed Jun 5,"Closed June 27, 2025","25% cost match, no max",EXPLICIT,SPECIFIC,ams.usda.gov,2,3,3,2,3,13,listing says Closed Jun 5 page says June 27 2025
