name,slug,agency,type,deadline_text
Braiding Seeds Fellowship,braiding-seeds-fellowship,Soul Fire Farm,Grant,Closed Oct 15
Building Markets and Resiliency,building-markets-and-resiliency,North Jersey RC&D Area,Grant,Closed Dec 31
"Buy Local, Buy Wisconsin Grants",buy-local-buy-wisconsin-grants,Wisconsin DATCP,Grant,Closed Sep 15
CADA Beginning Farmer Loan Program,cada-beginning-farmer-loan-program,Colorado Agricultural Development Authority (CADA),Loan,-
CFRA Loans,cfra-loans,Nebraska Center For Rural Affairs (CFRA),Loan,-
California Alternative Manure Management Practices Program,ammp,California Department of Food and Agriculture (CDFA),Grant,Closed Oct 18
California Community Vision Lending,ca-community-vision-loans,Community Vision Capital & Consulting,Loan,-
California Dairy Research Foundation Partnerships for Climate-Smart Commodities Project,california-dairy-research-foundation-partnerships-for-climate-smart-commodities-project,California Dairy Research Foundation,Grant,Sep 14
California Farmland Conservancy Program,cfcp,California Department of Conservation (CADC),Grant,-
California Healthy Soils Program,ca-hsp,California Department of Food and Agriculture (CDFA),Grant,Closed Aug 2
California Organic Transition Grant,ccof-transition-grant,California Certified Organic Farms (CCOF),Grant,-
California San Joaquin Valley Agricultural Burn Alternatives Grant Program,ca-sjv-ag-burn-alt-grant,San Joaquin Valley Air Pollution Control District,Grant,-
California Seeds for Bees Program,ca-seeds-for-bees-program,Project Apis m.,Discount,Due Aug 31
California Sustainable Agricultural Lands Conservation Program,ca-salc,California Department of Conservation (CADC),Grant,Due Oct 1
California Underserved and Small Producers Program,ca-cusp,California Department of Food and Agriculture (CDFA),Grant,-
California Urban Agriculture Grant Program,california-urban-agriculture-grant-program,California Department of Food and Agriculture (CDFA),Grant,Closed Oct 23
Capital Equipment Assistance Program,capital-equipment-assistance-program,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,Closed Jul 15
Carbon by Indigo,carbon-by-indigo,Indigo Ag,Environmental Market,-
Child and Adult Care Food Program,cacfp,Food and Nutrition Administration (FNA),Grant,-
Choose Iowa Value-Added Grant,choose-iowa-marketing-and-promotion-program,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,Closed Jan 16
Colorado Agricultural Future Loans Program,co-agriculture-future-loans-program,Colorado Department of Agriculture (CDA),Loan,-
Colorado Boulder County Sustainable Food and Agriculture Fund,co-bc-sfaf,Boulder County Department of the Environment,Grant,Closed Jan 7
Colorado C-PACE,co-pace,Colorado Commercial Property Assessed Clean Energy (CO-CPACE),Grant,-
Colorado Next Gen Ag Leadership Grant Program,co-nextgen,Colorado Department of Agriculture (CDA),Grant,Closed Apr 24
Colorado Saving Tomorrow's Agricultural Resources Program,co-star,Colorado Department of Agriculture (CDA),Grant,-
Colorado Specialty Crop Block Grant Program,co-scbgp,Colorado Department of Agriculture (CDA),Grant,Closed Feb 13
Commodity Loans,commodity-loans,Farm Service Agency (FSA),Loan,-
Composting and Food Waste Reduction Pilot Project,composting-and-food-waste-reduction-pilot-project,Natural Resources Conservation Service (NRCS),Grant,Closed Sep 4
Connecticut Agricultural Enhancement Grant,ct-farm-viability-grant,Connecticut Department of Agriculture (CTDOAG),Grant,Closed Feb 2
Connecticut Energy Assistance Program,connecticut-energy-assistance-program,Connecticut's Department of Social Services,Grant,Closed May 29
Connecticut Farm Enterprise Transition Grant,ct-farm-transition-grant-program,Connecticut Department of Agriculture (CTDOAG),Grant,Closed Jan 12
Connecticut Organic Certification Cost Share Program,ct-organic-certification-cost-share-program,Connecticut Department of Agriculture (CTDOAG),Cost Share,Closed Sep 30
Connecticut Specialty Crop Block Grant,ct-scbgp,Connecticut Department of Agriculture (CTDOAG),Grant,Closed Mar 16
Connecticut Traditional Farmland Preservation Program,ct-traditional-farmland-preservation-program,Connecticut Department of Agriculture (CTDOAG),Easement,-
Conservation Innovation Grants (CIG),cig,Natural Resources Conservation Service (NRCS),Grant,Closed Jul 27
Conservation Reserve Enhancement Program (CREP),crep,Farm Service Agency (FSA),Easement,-
Conservation Reserve Program (CRP),crp,Farm Service Agency (FSA),"Easement, Cost Share",Closed May 1
Conservation Reserve Program - Grasslands (CRP Grasslands),crp-grasslands,Farm Service Agency (FSA),"Easement, Cost Share, Grant",Closed May 29
Conservation Stewardship Program (CSP),csp,Natural Resources Conservation Service (NRCS),Easement,-
Conservation Stewardship Program: Grasslands Conservation Initiative,conservation-stewardship-program-grasslands-conservation-initiative,Natural Resources Conservation Service (NRCS),Easement,-
Contour Lines Tree Planting Grant,clcg,Contour Lines Corp,Grant,-
Dairy Margin Coverage Program (DMC),dmc,Farm Service Agency (FSA),Insurance,Closed Feb 26
Delaware Chesapeake Bay Implementation Grant Program,chesapeake-bay-implementation-grant-program,Delaware DNREC,Grant,Closed Mar 6
Delaware First State Food System Grant Program,de-fsfsgp,Delaware Council on Farm & Food Policy,Grant,Closed May 30
Delaware Irrigation Electrification Grant Program,de-irrigation-electrification-grant-program,Delaware Electric Cooperative (DEC),Grant,-
Delaware Nutrient Management Relocation Program,de-nutrient-relocation,Delaware Department of Agriculture (DDoA),Grant,-
Delaware Section 319 Grants,delaware-section-319-grants,Delaware DNREC,Grant,Closed Mar 6
Direct Farm Operating Loan,direct-farm-operating-loan,Farm Service Agency (FSA),Loan,-
Disaster Assistance Recovery Tool,disaster-assistance-recovery-tool,U.S. Department of Agriculture (USDA),"Education, Grant, Loan, Cost Share",-
EQIP Conservation Incentive Contracts (EQIP-CIC),eqip-cic,Natural Resources Conservation Service (NRCS),Grant,-
EQIP High Tunnel System Initiative,eqip-high-tunnel,Natural Resources Conservation Service (NRCS),Grant,-
EQIP On-Farm Energy Initiative,energy-initiative,Natural Resources Conservation Service (NRCS),Grant,-
EQIP Organic Initiative,eqip-organic-initiative,Natural Resources Conservation Service (NRCS),Grant,-
Elevated Foods Advancing Markets for Producers (AMP),elevated-foods-partnerships-for-climate-smart-commodities,Elevated Foods,Grant,-
"Emergency Assistance for Livestock, Honey Bees, and Farm-Raised Fish (ELAP)",elap,Farm Service Agency (FSA),Grant,-
Emergency Commodity Assistance (ECAP),ecap,Farm Service Agency (FSA),"Grant, Insurance",Closed Aug 15
Emergency Conservation Program (ECP),ecp,Farm Service Agency (FSA),"Grant, Cost Share",-
Emergency Farm Loans,emergency-farm-loans,Farm Service Agency (FSA),Loan,-
Emergency Forest Restoration Program (EFRP),efrp,Farm Service Agency (FSA),"Grant, Cost Share",-
Emergency Livestock Relief Program (ELRP),emergency-livestock-relief-program,Farm Service Agency (FSA),Grant,Closed Nov 21
Emergency Resilience Grant,emergency-resilience-grant,American Farmland Trust (AFT),Grant,Closed Apr 26
Emergency Watershed Protection Program (EWP),ewp,Natural Resources Conservation Service (NRCS),Cost Share,-
Emerging Markets Program,emp,Foreign Agricultural Service (FAS),Grant,Due Aug 14
Environmental Quality Incentives Program (EQIP),eqip,Natural Resources Conservation Service (NRCS),Grant,-
Expanding Agroforestry Production and Markets - Hawai'i,expanding-agroforestry-production-and-markets-hawaii,The Nature Conservancy (TNC),Grant,Due Aug 11
Expanding Agroforestry Production and Markets - Lower Midwest,expanding-agroforestry-production-and-markets-lower-midwest,The Nature Conservancy (TNC),Grant,Due Aug 11
Expanding Agroforestry Production and Markets - Mid Atlantic / Central Appalachia,expanding-agroforestry-production-and-markets-mid-atlantic-central-appalachia,The Nature Conservancy (TNC),Grant,Due Aug 11
Expanding Agroforestry Production and Markets - Northeast,expanding-agroforestry-production-and-markets-northeast,The Nature Conservancy (TNC),Grant,Due Aug 11
Expanding Agroforestry Production and Markets - Southeast,expanding-agroforestry-production-and-markets-southeast,The Nature Conservancy (TNC),Grant,Due Aug 11
Expanding Agroforestry Production and Markets - Upper Midwest,expanding-agroforestry-production-and-markets-upper-midwest,The Nature Conservancy (TNC),Grant,Due Aug 11
Farm Aid Hurricane Disaster Fund,farm-aid-hurricane-disaster-fund,Farm Aid,Grant,-
Farm Bureau Ag Innovation Challenge,fb-ag-innovation-challenge,Farm Bureau (FB),Grant,Closed Jun 9
Farm Labor Stabilization and Protection,flsp,U.S. Department of Agriculture (USDA),Grant,Closed Jan 3
Farm Ownership Loans,farm-ownership-loans,Farm Service Agency (FSA),Loan,-
Farm Storage Facility Loan Program (FSFL),fsfl,Farm Service Agency (FSA),Loan,-
FarmLend,farmlend,Farm Credit,Loan,-
Farmable Wetlands Program,fwp,Farm Service Agency (FSA),Easement,-
Farmer Bridge Assistance (FBA),Farmer-bridge-assistance,Farm Service Agency (FSA),Grant,Closed Apr 17
Farmer Cooperative-Led Perennial Cover Crop / MRV and Carbon Market Project,farmer-cooperative-led-partnership-driven-project-for-implementing-novel-perennial-cover-crop-species-in-specialty-crop-systems-and-integrating-with-innovative-mrv-and-carbon-market,Oakville Bluegrass Cooperative,Grant,-
Farmer Veteran Coalition Fellowship Fund,farmer-veteran-fellowship,Farmer Veteran Coalition (FVC),Grant,Closed Feb 17
Farmers Advocating For Organic Grant,farmers-advocating-for-organic-grant,Organic Valley,Grant,-
Farmers Market Promotion Program,fmpp,Agricultural Marketing Service (AMS),Grant,Closed Jun 5
Farmers for Soil Health Climate-Smart Commodities Partnership,farmers-for-soil-health-climate-smart-commodities-partnership-,National Fish and Wildlife Foundation (NFWF),Grant,Closed Sep 23
Farmers of Color Network Infrastructure Fund Grant,rafi-fcn,Rural Advancement Foundation International (RAFI),Grant,Closed Mar 24
Farmstart,farm-start-seed-capital,Farm Credit East,Loan,-
Farmstead Best Management Practices Program,vermont-farmstead-best-management-practices-bmp,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,-
Feed The Hunger Fund,feed-the-hunger-fund,Feed The Hunger Fund (FTHF),Loan,-
Fertilizer Investment & Expansion for Long-term Domestic Supply (FIELDS) Program,fpep,Rural Development (RD),Grant,Due Aug 17
Fisheries Finance Program,ffp,National Oceanic and Atmospheric Administration (NOAA),Loan,-
Florida Rural and Family Lands Protection Program,florida-rural-and-family-lands-protection-program,Florida Department of Agriculture and Consumer Services (FDACS),Easement,Closed Jan 23
Food Animal Concerns Trust Conference Scholarships,fact-conference-scholarships,Food Animals Concerns Trust (FACT),Grant,-
Food Safety Certification for Specialty Crops Program (FSCSC),fscsc,Farm Service Agency (FSA),Grant,Closed Jan 31
Food Supply Chain Guaranteed Loans,food-supply-chain-guaranteed-loans,Rural Development (RD),Loan,-
Forest Legacy Program,forest-legacy-program,Forest Service (FS),"Easement, Grant, Cost Share",-
Frontera Farmer Foundation: Chicago Area Farms,frontera-farmer-foundation,Frontera,Grant,Closed Mar 5
Fruit Guys Community Fund,fruit-guys-community-fund,The Fruit Guys,Grant,Closed Jan 30
Future Harvest Beginner Farmer Trainer Program,future-harvest-beginner-farmer-trainer-program,Future Harvest,Education,Closed Nov 14
Future Organic Farmers,ccof-fof,California Certified Organic Farms (CCOF),Grant,Opens Mar 22
General Needs Loan,hebrew-general-needs-loan,Hebrew Free Loan Society (HFLS),Loan,-
Grants for Organic Transition,grants-for-organic-transition,California Certified Organic Farms (CCOF),Grant,Closed Dec 10
Grass Fed Small & Very Small Producer Program,svs,Agricultural Marketing Service (AMS),Discount,-
Grazing Lands Conservation Initiative (GLCI),grazing-lands-conservation-initiative,Natural Resources Conservation Service (NRCS),Grant,Closed May 26
Greg Steltenpohl Pragmatic Visionary Award,steltenpohl-pragamatic-visionary-award,Community Foundation Sonoma County,Grant,Closed Jan 18
Grow Maine Small Business Loan & Capital Direct Loan Program,grow-maine-direct-loan-program,Finance Authority of Maine (FAME),Loan,-
"Growing, Marketing, and Measuring the Climate-Smart Impacts of Organic Grain & Field Crops",growing-marketing-and-measuring-the-climate-smart-impacts-of-organic-grain-field-crops,Marbleseed,Grant,-
Guaranteed Farm Loans,guaranteed-farm-loans,Farm Service Agency (FSA),Loan,-
Hardship Assistance Fund,hardship-assistance-fund,California Certified Organic Farms (CCOF),Grant,Due Sep 25
Harvest Returns,harvest-returns,Harvest Returns,Fundraising,-
Hawaii Alternative Energy Loan Program,hawaii-alternative-energy-loan-program,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,-
Hawaii Aquaculture Loans,hawaii-aquaculture-loans,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,-
Hawaii Food Manufacturing Loans,hawaii-food-manufacturing-loans,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,-
Hawaii New Farmer Loan,hawaii-new-farmer-loan,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,-
Hawaii Part-Time Farmer Loan,hawaii-part-time-farmer-loan,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,-
Hawaii Qualified Farmer Loan,hawaii-qualified-farmer-loan,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,-
Healthy Food Financing Initiative,healthy-food-financing-initiative,U.S. Department of Agriculture (USDA),Grant,-
Healthy Forests Reserve Program,hfrp,Natural Resources Conservation Service (NRCS),Easement,-
Heir's Property Relending Program,heirs-property-relending-program,Farm Service Agency (FSA),Loan,-
Higher Education Scholarship Program,farm-credit-east-scholarship-program,Farm Credit East,Grant,Closed Mar 16
Highly Fractionated Indian Land Loan Program (HFIL),hfil,Farm Service Agency (FSA),Loan,-
"Horizon Farm Credit Young, Beginning, and Small (YBS) Farmer Grant Program",agchoice-farm-startup-grant,Horizon Farm Credit,Grant,Aug 21
Idaho Specialty Crop Block Grant Program,id-scbgp,Idaho State Department of Agriculture (ISDA),Grant,Closed Mar 8
Illinois Cover Crop Premium Discount Program,il-cover-crop,Illinois Department of Agriculture (IDOA),Discount,Closed Jan 15
Illinois Finance Authority First-Time Farmer Bond Program,illinois-finance-authority-beginning-farmer-bond-program,Illinois Financial Authority (IFA),Loan,-
Increasing Farm Resource Efficiency ... Innovative Fertilizers and Climate-Smart Commodities,increasing-farm-resource-efficiency-by-utilizing-on-site-post-production-food-byproducts-into-innovative-fertilizers-and-climate-smart-commodities,Re-Nuble,Grant,-
Indian Tribal Land Acquisition Loan Program (ITLAP),itlap,Farm Service Agency (FSA),Loan,-
Indiana Friend of Conservation Award,indiana-friend-of-conservation-award,Indiana Association of Soil and Water Conservation Districts,Grant,Closed Mar 31
Integrated Atmospheric Deposition Network,great-lakes-restoration-initiative,Great Lakes Restoration Initiative,Grant,Closed May 6
Iowa Century and Heritage Farm Programs,ia-100,Iowa Department of Agriculture & Land Stewardship (IDALS),Discount,Closed Jun 1
Iowa Crop Insurance Discount Program,ia-crop-insurance-discount-program,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,-
Iowa Finance Authority Beginning Farmer Loan Program,iowa-finance-authority-beginning-farmer-loan-program,Iowa Finance Authority,Loan,-
Iowa Incentive Payments for Conservation Practices,ia-ipcp,Iowa Department of Agriculture & Land Stewardship (IDALS),Cost Share,-
Iowa Specialty Crop Block Grant Program,ia-scbgp,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,Closed Mar 6
Iowa State Revolving Loan Fund,iowa-state-revolving-loan-fund,Iowa Department of Agriculture & Land Stewardship (IDALS),Loan,-
Iowa Stormwater Best Management Practice Loans,iowa-stormwater-best-management-practice-loans,Iowa Department of Agriculture & Land Stewardship (IDALS),Loan,-
Iowa Tribe Center for Excellence in Regenerative Native Agriculture (CERNA) Innovation Pilot Program,iowa-tribe-center-for-excellence-in-regenerative-native-agriculture-(cerna)-innovation-pilot-program,Iowa Tribe of Kansas and Nebraska,Grant,-
Iowa Urban Conservation Projects Grant,iowa-urban-conservation-projects-grant,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,Closed May 22
John May Farm Safety Fund,john-may-farm-safety-fund,New York Center for Agricultural Medicine and Health (NYCAMH),Cost Share,-
Joint Chiefs' Landscape Restoration Partnership,jclrp,Forest Service (FS),"Grant, Cost Share",-
Kansas Development Finance Authority Beginning Farmer Bond Program,kansas-development-finance-authority-beginning-farmer-bond-program,Kansas Development Finance Authority,Loan,-
Kentucky Agricultural Finance Corporation Beginning Farmer Loan Program,kentucky-agricultural-finance-corporation-beginning-farmer-loan-program,Kentucky Department of Agriculture (KYDA),Loan,-
Kentucky Horticulture Council Third Party GAPs Audit Cost-Share Grant,ky-hort-gap,Kentucky Horticulture Council,Cost Share,Closed Dec 15
Kentucky Proud Promotional Grant,ky-proud-promotional,Kentucky Department of Agriculture (KYDA),Grant,-
Kentucky Selling Farmer Tax Credit Program,ky-sftc,Kentucky Cabinet for Economic Development,Grant,-
Kentucky Small Scale Farm Grant,kentucky-small-scale-farm-grant,Kentucky State University (KYSU),Grant,-
Kentucky Women in Agriculture College Scholarship,ky-wia-cs,Kentucky Women In Agriculture (KYWIA),Grant,Closed Jun 30
Kiva Loans,kiva-loan,Kiva,Loan,-
Lakewinds Organic Field Fund,lakewinds-organic-field-fund,Lakewinds Food Co-op,Grant,Opens Jan 1
Launching The North Valley Food Hub for Climate-Smart Agriculture,launching-the-north-valley-food-hub-for-climate-smart-agriculture,Chico State Enterprises,Grant,-
LeRay McAllister Working Farm and Ranch Fund,ut-clcp,Utah Department of Agriculture and Food (UDAF),Grant,-
Leopold Conservation Award,leopold-conservation-award,Sand County Foundation,Grant,-
Lesser Prairie-Chicken Initiative,lesser-prairie-chicken-initiative,Working Lands for Wildlife,Grant,-
Livestock Conservancy Emergency Response Fund,livestock-conservancy-emergency-response-fund,The Livestock Conservancy,Grant,-
Livestock Conservancy Heritage Livestock Microgrant Program,livestock-conservancy-microgrant-program,The Livestock Conservancy,Grant,Due Aug 15
Livestock Forage Disaster Program (LFP),lfp,Farm Service Agency (FSA),Grant,-
Livestock Indemnity Program (LIP),lip,Farm Service Agency (FSA),Grant,-
Local Agriculture Market Program,lamp,Agricultural Marketing Service (AMS),Grant,Closed Jun 5
Local Food Promotion Program,lfpp,Agricultural Marketing Service (AMS),Grant,Closed Jun 5
Long Island Aquaculture Infrastructure Grant Round 2,long-island-aquaculture-infrastructure-grant,New York Department of Agriculture and Markets (NYDAM),Grant,Closed Jan 5
Longleaf Pine Initiative (LLPI),longleaf-pine-initiative,Natural Resources Conservation Service (NRCS),Grant,-
Low Carbon Technologies - Advancing Markets for Producers (AMP),low-carbon-beef-usda-pilot-program,Low Carbon Beef,Grant,Closed Jun 15
Mad Agriculture Perennial Fund,mad-agriculture,Mad Agriculture,Loan,-
Mad Capital,mad-capital,Mad Agriculture,Loan,-
Main Street Capital Loan Fund,main-street-capital-loan-fund,Pursuit Lending,Loan,-
Maine Agricultural Marketing Loan Fund,me-amlf,"Maine Department of Agriculture, Conservation, and Forestry (ME DACF)",Loan,-
Maine Dairy Improvement Fund,me-dif,"Maine Department of Agriculture, Conservation, and Forestry (ME DACF)",Loan,-
Maine Potato Marketing Improvement Fund,me-potato-marketing-improvement,"Maine Department of Agriculture, Conservation, and Forestry (ME DACF)",Loan,-
Make it Minnesota Cost-Share Program,mn-new-markets-cost-share,Minnesota Department of Agriculture (MDA),Cost Share,Closed Jun 30
Marbleseed Farmer-to-Farmer Mentorship Program,marbleseed-mentorship-program,Marbleseed,Discount,Closed Nov 15
Marketing Assistance Loans,mal,Farm Service Agency (FSA),Loan,-
Marketing Assistance for Specialty Crops,marketing-assistance-specialty-crops,U.S. Department of Agriculture (USDA),Grant,Closed Jan 10
Maryland Urban Agriculture Commercial Lending Incentive Grant,muaclig,MARBIDCO,Grant,-
Massachusetts APR Improvement Program,aip,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed Apr 18
Massachusetts Agricultural Climate Resiliency & Efficiencies Program,ma-acre,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed May 7
Massachusetts Agricultural Energy Grant Program,ma-agricultural-energy-grant-program,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed May 7
Massachusetts Agricultural Environmental Enhancement Program,ma-aeep,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed May 7
Massachusetts Agricultural Food Safety Improvement Program,apsip,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed Jun 18
Massachusetts Agricultural Preservation Restriction Program,ma-agricultural-preservation-restriction-program,Massachusetts Department of Agricultural Resources (MDAR),Easement,-
Massachusetts Climate Smart Agriculture Program,ma-csap,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed May 7
Massachusetts Farm Viability Enhancement Program,fvep,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed Jan 1
Massachusetts Food Ventures Program,mfvp,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed May 28
Massachusetts Society For Promoting Agriculture Grant,ma-society-for-promoting-agriculture-grant,The Massachusetts Society for Promoting Agriculture (MSPA),Grant,-
Massachusetts Urban Agriculture Program,mdar-urban-ag,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed May 18
Meat and Poultry Processing Expansion Program,mppep,Rural Development (RD),Grant,Due Aug 7
Michigan Conservation Stewardship for Farmers Project (MCSFP),the-michigan-climate-smart-farm-project,Michigan Association of Conservation Districts,Grant,-
Michigan Crosshatch Microloan,mi-crosshatch-microloan,Crosshatch Center for Art and Ecology,Loan,Closed Feb 17
Michigan Food and Agriculture Investment Program,mi-faip,Michigan Department of Agriculture and Rural Development (MDARD),Grant,-
Michigan Rural Development Fund Grants,mi-rural-dev,Michigan Department of Agriculture and Rural Development (MDARD),Grant,Closed Dec 3
"Michigan Underserved, Value-Added, Regional Food Systems, and Supply Chain Grant",mi-valued-added-and-regional-food-systems-grants,Michigan Department of Agriculture and Rural Development (MDARD),Grant,Closed Apr 15
Micro-Loan Program for New Mexico Farmers,nm-micro-loan,New Mexico Farmers' Marketing Association (NMFMA),Loan,-
Microloan Programs,microloans,Farm Service Agency (FSA),Loan,-
Milk Donation Reimbursement Program,dairy-donation-program,Agricultural Marketing Service (AMS),Grant,-
Milk Donation Reimbursement Program,milk-donation-reimbursement-program,Agricultural Marketing Service (AMS),Grant,-
Milk Loss Program (MLP),milklossassist,U.S. Department of Agriculture (USDA),Grant,Closed Jan 23
Minnesota AGRI Livestock Investment Grant,mn-agri-livestock-investment,Minnesota Department of Agriculture (MDA),Grant,Closed Nov 13
Minnesota AGRI Sustainable Agriculture Demonstration Grant,mn-sustainable-agriculture-demonstration-grant,Minnesota Department of Agriculture (MDA),Grant,Closed Dec 17
Minnesota AGRI Urban Agriculture Grant,mn-agri-urban-agriculture-grant,Minnesota Department of Agriculture (MDA),Grant,Closed Feb 26
Minnesota AGRI Value-Added Grant Program,agri-value-added,Minnesota Department of Agriculture (MDA),Grant,Closed Jun 17
Minnesota Beginning Farmer Tax Credit,mn-beginning-farmer-tax-credit,Minnesota Department of Agriculture (MDA),Discount,Due Nov 1
Minnesota Dairy Business Planning Grant,mn-dbpg,Minnesota Department of Agriculture (MDA),Grant,Due Jun 30
Minnesota Down Payment Assistance Grant Program,mn-dpa,Minnesota Department of Agriculture (MDA),Grant,Due Aug 31
"Minnesota Meat, Poultry, and Milk Processing Grant",mn-mpmpg,Minnesota Department of Agriculture (MDA),Grant,Closed Jun 17
Minnesota Nutrient Management Initiative,mn-nmi,Minnesota Department of Agriculture (MDA),Grant,Closed Mar 15
Minnesota Rural Finance Authority Beginning Farmer Loan Program,minnesota-rural-finance-authority-beginning-farmer-loan-program,Minnesota Rural Finance Authority,Loan,-
Minnesota Specialty Crop Block Grant Program,mn-scbgp,Minnesota Department of Agriculture (MDA),Grant,Closed Feb 11
Minnesota Wolf-Livestock Conflict Prevention Grants,mn-wolf-prevention,Minnesota Department of Agriculture (MDA),Grant,Closed Jan 3
Mississippi River Basin Healthy Watersheds Initiative (MRBI),mississippi-river-basin-healthy-watersheds-initiative,Natural Resources Conservation Service (NRCS),Grant,-
Missouri Agricultural and Small Business Development Authority Beginning Farmer Loan Program,missouri-agricultural-and-small-business-development-authority-beginning-farmer-loan-program,Missouri Department of Agriculture (MODA),Loan,-
Missouri Urban Agriculture Cost-Share Grant Program,mo-urban-ag,Missouri Department of Agriculture (MODA),Grant,Closed Sep 15
Monarch Butterfly Conservation,monarch-butterfly-conservation,Natural Resources Conservation Service (NRCS),Grant,-
Monarchs and More Western Habitat Program,w-monarch,The Monarch Joint Venture,Wildlife & Pollinator Habitat,Closed May 1
Montana Down Payment Assistance Program,mn-dpap,Montana Board of Investments,Loan,-
Montana Growth Through Agriculture Program,montana-growth-through-agriculture-program,Montana Department of Agriculture (MDA),Grant,Closed Feb 2
Montana Growth Through Agriculture Program,montana-gta,Montana Department of Agriculture (MDA),Grant,Closed Feb 2
Montana Junior Agriculture Loan Program,mt-junior-ag,Montana Department of Agriculture (MDA),Loan,-
Montana Noxious Weed Trust Fund Grant Program,montana-nwtf,Montana Department of Agriculture (MDA),Grant,Opens Sep 1
Montana Pulse Crop Marketing,montana-pulse-marketing,Montana Department of Agriculture (MDA),Marketing,Closed Feb 16
Montana Rural Assistance Loans,mt-rural-assistance,Montana Department of Agriculture (MDA),Loan,-
Montana Specialty Crop Block Grant Program,mt-scbgp,Montana Department of Agriculture (MDA),Grant,Closed Feb 27
National Water Quality Initiative (NWQI),national-water-quality-initiative,Natural Resources Conservation Service (NRCS),Grant,-
Native Agriculture & Food Systems Scholarship,nafss,First Nations Development Institute,Grant,Closed Jun 16
Native's Improved Grazing Carbon Program,natives-improved-grazing-carbon-program,Native,Environmental Market,-
